прибудь пожалуйста в буфет и отдай нам пицца,движение(буфет)движение взять(пицца)взять движение(обратно)движение
не сочти за труд заехать в аудитория 885 и прихватить для них объект,взять(объект)взять движение(аудитория 885)движение
 забери работа в буфет и после чего иди в начальную точку,взять(работа)взять движение(буфет)движение движение(обратно)движение
привет передай тетрадь в библиотека,взять(тетрадь)взять движение(библиотека)движение
 увези для меня вот печать из пост охраны,движение(пост охраны)движение взять(печать)взять движение(обратно)движение
пойди в буфет и возьми пенал туда и потом прибудь в исходную точку,взять(пенал)взять движение(буфет)движение движение(обратно)движение
пожалуйста отнеси печать в кабинет 556 и только после этого приедь назад,взять(печать)взять движение(кабинет 556)движение движение(обратно)движение
привет мы просим чтобы ты взял ножницы из кабинет 979,движение(кабинет 979)движение взять(ножницы)взять движение(обратно)движение
добрый день им хочется чтобы ты сбегал в медпункт и принес пенал для нас ,движение(медпункт)движение взять(пенал)взять движение(обратно)движение
переместись пожалуйста в кабинет 403 и отвези туда яблоко,взять(яблоко)взять движение(кабинет 403)движение
добрый вечер Сергей Александрович жаждет чтобы ты занес ножницы из аудитория 13,движение(аудитория 13)движение взять(ножницы)взять движение(обратно)движение
добрый день желаю чтобы ты увез кружка в кампус Антарктида после чего вернулся,взять(кружка)взять движение(кампус Антарктида)движение движение(обратно)движение
 довези для меня блокнот из пост охраны,движение(пост охраны)движение взять(блокнот)взять движение(обратно)движение
не откажите в любезности заехать пожалуйста в библиотека и отвезти тетрадь для них и после поехать назад,взять(тетрадь)взять движение(библиотека)движение движение(обратно)движение
потрудитесь передать печать в кампус Африка пожалуйста,взять(печать)взять движение(кампус Африка)движение
добрый вечер довези сюда груз из отдел кадров,движение(отдел кадров)движение взять(груз)взять движение(обратно)движение
не откажи в любезности сбегать в пункт 142 и доставить кружка коллективу а после чего телепортироваться на прежнее место,взять(кружка)взять движение(пункт 142)движение движение(обратно)движение
 они требуют чтобы ты сбегал в медпункт и занес пенал нам именно,движение(медпункт)движение взять(пенал)взять движение(обратно)движение
 отвези зонтик в кампус Северная Америка и доберись в начальную точку,взять(зонтик)взять движение(кампус Северная Америка)движение движение(обратно)движение
привет ее коллеги жаждят чтобы ты в кампус Северная Америка занес яблоко а после этого переместился в начальную точку,взять(яблоко)взять движение(кампус Северная Америка)движение движение(обратно)движение
добрый вечер Полина и Настя просят чтобы ты в отдел кадров увез блокнот и только тогда прибыл обратно,взять(блокнот)взять движение(отдел кадров)движение движение(обратно)движение
доброе утро мы просим чтобы ты передал яблоко для меня только из кампус Бразилия,движение(кампус Бразилия)движение взять(яблоко)взять движение(обратно)движение
сбегай пожалуйста в медпункт и захвати оттуда печать,движение(медпункт)движение взять(печать)взять движение(обратно)движение
добрый вечер жаждим чтобы ты захватил зонтик из медпункт,движение(медпункт)движение взять(зонтик)взять движение(обратно)движение
следуй пожалуйста в аудитория 400 и принеси сюда инструмент,движение(аудитория 400)движение взять(инструмент)взять движение(обратно)движение
привет коллективу охота чтобы ты забрал прибор в кампус Южная Америка,взять(прибор)взять движение(кампус Южная Америка)движение
 команде охота чтобы ты прихватил объект только мне из кампус Африка,движение(кампус Африка)движение взять(объект)взять движение(обратно)движение
 коллективу охота чтобы ты увез пенал нам вот из медпункт,движение(медпункт)движение взять(пенал)взять движение(обратно)движение
не сочти за труд доставить зонтик в пост охраны,взять(зонтик)взять движение(пост охраны)движение
забери зонтик из буфет вот для меня пожалуйста,движение(буфет)движение взять(зонтик)взять движение(обратно)движение
не откажи в любезности приехать в аудитория 434 и доставить коллегам инструмент,взять(инструмент)взять движение(аудитория 434)движение
привет они желают чтобы ты телепортировался в кампус Евразия и передал аптечка именно для меня,движение(кампус Евразия)движение взять(аптечка)взять движение(обратно)движение
 извольте захватить кружка из библиотека,движение(библиотека)движение взять(кружка)взять движение(обратно)движение
добрый вечер им охота чтобы ты сгонял в медпункт и забрал тетрадь нам вот,движение(медпункт)движение взять(тетрадь)взять движение(обратно)движение
добрый вечер ему хочется чтобы ты следовал в пост охраны и передал пенал для меня вот,движение(пост охраны)движение взять(пенал)взять движение(обратно)движение
