сгоняй пожалуйста в кабинет 66 и доставь чашка сюда,1
пожалуйста доставь прибор в отдел кадров,1
сгоняй в медпункт и захвати сюда объект,1
я спрашиваю почему они не срабатывают,0
у горничной должен быть ключ,0
пожалуйста доставь работа в библиотека и переместись назад,1
будут спрашивать отдувайся за обоих,0
хорошо сегодня побываем там вместе,0
переместись в отдел кадров и захвати прибор туда,1
назначить баринова пока за командира,0
отвези работа пожалуйста в кабинет 547,1
во вторых какой вид спорта,0
поезжай пожалуйста в кабинет 220 и доставь туда документ и возвращайся,1
сгоняй пожалуйста в отдел кадров и принеси объект туда,1
отвези объект пожалуйста из медпункт,1
в штабе фронта я только от него,0
пожалуйста принеси груз в кабинет 213,1
комсорг а не против если еще по сто,0
пожалуйста доставь работа из медпункт,1
в чем дело снизу кричат,0
захвати документ в пункт 362 и доберись назад,1
ну как у вас дела,0
с десяток и машины с пехотой,0
да не сплю я не сплю че делать то,0
пожалуйста возьми чашка из библиотека,1
ой срам какой жуткий прости,0
тюха застирывать надо и брюки и кальсоны,0
доставь объект в медпункт и возвращайся,1
отвези чашка в кабинет 265,1
 доставь документ в библиотека,1
под чжалайнором в двадцать девятом,0
мензурка бы касторки не помешала,0
пожалуйста доставь груз из кабинет 866,1
пожалуйста доставь груз из медпункт,1
 доставь документ в отдел кадров,1
был в окружении но не в плену,0
ты ведь не в общежитии живешь,0
нам пора товарищ полковник разрешите,0
ответьте вы ему товарищ комдив,0
товарищ генерал правда что мы окружены,0
заедь в медпункт и отвези туда объект и заедь назад,1
доберись пожалуйста в библиотека и доставь туда чашка,1
переместись в кабинет 616 и доставь туда груз,1
свои а это вы товарищ командующий,0
доставь груз в библиотека и доберись назад,1
прибудь пожалуйста в отдел кадров и доставь работа сюда,1
горючка доставлена боезапас на подходе,0
ну как тут иван михайлович дела,0
самолет новичка из женского пополнения,0
отвези объект пожалуйста из пункт 40,1
да а сейчас эти приедут тебе охота ехать,0
доберись пожалуйста в отдел кадров и возьми груз оттуда,1
вы уже ответили товарищ груценко,0
возьми чашка в отдел кадров и возвращайся,1
возьми чашка в библиотека и поезжай назад,1
вы должны были застрелиться от позора,0
пожалуйста доставь чашка в медпункт,1
переместись пожалуйста в медпункт и захвати туда документ,1
отвези документ пожалуйста из отдел кадров,1
прибудь в кабинет 678 и возьми чашка туда,1
пожалуйста захвати чашка в пункт 425,1
стоят на льду реки моторы работают,0
а вон видишь что то из тех бутылей выпил,0
доставь объект пожалуйста в библиотека и возвращайся,1
связь со штабом армии имеешь,0
пожалуйста захвати прибор в отдел кадров и возвращайся,1
ложись ложись дурак чертов убьют,0
ну с благополучным исходом вас,0
захвати объект из медпункт,1
кто наблюдал нефёдова над целью,0
возьми документ в библиотека и поезжай назад,1
ну а я думал вы моложе,0
попробую сесть на брюхо может получится,0
 возьми груз из отдел кадров,1
заедь пожалуйста в библиотека и возьми прибор туда,1
что мансур не жарко теперь тебе,0
доставь груз пожалуйста в отдел кадров,1
готовлю атаку паровею вот вот отобьем,0
принеси прибор пожалуйста в пункт 914,1
заедь пожалуйста в кабинет 353 и отвези груз туда и заедь назад,1
а если бы на яке,0
возьми прибор в библиотека,1
отвези документ из медпункт,1
прибудь пожалуйста в медпункт и принеси туда груз и возвращайся,1
иди пожалуйста в библиотека и отвези туда объект и возвращайся,1
иди в библиотека и захвати работа оттуда,1
возьми чашка в библиотека и заедь назад,1
отвези чашка пожалуйста в библиотека и прибудь назад,1
ну что мансур как дела,0
 доставь работа в кабинет 246,1
в штаб армии или прямо в войска,0
 принеси чашка в библиотека,1
возьми объект пожалуйста в библиотека и заедь назад,1
захвати работа в библиотека и возвращайся,1
ну голос у тебя старшина,0
лычкин вел первую группу я вторую,0
приедь пожалуйста в кабинет 571 и возьми туда объект,1
захвати документ в библиотека,1
сгоняй пожалуйста в пункт 136 и возьми туда объект и сгоняй назад,1
сколько тебе времени на подготовку надо,0
прибудь в пункт 583 и возьми объект оттуда,1
принеси работа в отдел кадров и возвращайся,1
 доставь прибор в медпункт,1
поехала б да нельзя служба,0
вот чуть было не забыл совсем,0
вы едете с востока господин полковник,0
мансур ведь ты его сбил,0
провод изорвало в клочья концов не найдешь,0
внизу в рецепции взять можно,0
завтра ко мне в торопу,0
что это ты сегодня один одинешенек,0
пожалуйста принеси прибор из отдел кадров,1
товарищ генерал он из штаба армии,0
с того берега мост смотрел,0
может быть вам оркестр понадобится,0
пожалуйста отвези груз из пункт 558,1
сгоняй в кабинет 231 и возьми груз сюда,1
зачем она вам девчонка эта,0
засек стереотрубу по блеску стекол,0
болеет лейтенант в той щели лежит,0
а мы с тобой спим,0
доберись в кабинет 684 и принеси прибор туда,1
возьми работа в медпункт и переместись назад,1
чем могу быть полезным товарищ покрышкин,0
что будем делать отходить или драться,0
пожалуйста доставь груз из отдел кадров,1
а первым штурманом капитан молчал,0
